Compare	Shape	Carat	Color	Clarity	Cut	Report	Origin	Price	 empty
Oval	0.30	G	VS2	Super Ideal	IGI	Lab Created	$220	View
Oval	0.31	F	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	H	VS1	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	H	VS1	Very Good	IGI	Lab Created	$220	View
Oval	0.30	E	SI2	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	G	VS2	Very Good	IGI	Lab Created	$220	View
Oval	0.32	I	VVS2	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	F	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.32	G	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.31	G	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.30	G	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.31	H	VS2	Very Good	IGI	Lab Created	$220	View
Pear	0.30	G	SI1	Good	IGI	Lab Created	$220	View
Pear	0.31	G	SI1	Good	IGI	Lab Created	$220	View
Pear	0.31	H	VS2	Very Good	IGI	Lab Created	$220	View
Pear	0.37	I	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.34	H	VS2	Good	IGI	Lab Created	$220	View
Oval	0.35	H	SI1	Ideal	IGI	Lab Created	$220	View
Cushion	0.30	E	SI2	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	F	SI1	Good	IGI	Lab Created	$220	View
Cushion	0.30	H	VVS2	Good	IGI	Lab Created	$220	View
Cushion	0.31	F	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.34	H	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.37	I	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.37	I	SI1	Good	IGI	Lab Created	$220	View
Pear	0.31	G	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	F	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.30	G	VS2	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	F	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	H	VS1	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	F	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.31	F	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	F	SI1	Very Good	IGI	Lab Created	$220	View
Cushion	0.30	E	SI1	Good	IGI	Lab Created	$220	View
Cushion	0.31	G	VS2	Good	IGI	Lab Created	$220	View
Pear	0.31	G	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.37	I	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.31	G	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.34	H	SI1	Very Good	IGI	Lab Created	$220	View
Pear	0.30	H	VS2	Good	IGI	Lab Created	$220	View
Pear	0.31	H	VS2	Good	IGI	Lab Created	$220	View
Pear	0.31	H	VS2	Very Good	IGI	Lab Created	$220	View
